1000,0,0,16,32,1
1001,16,0,16,32,3
1002,64,0,16,32,1
1003,80,0,16,32,1
1004,96,0,16,32,1
1005,112,0,16,32,2
1006,0,32,16,16,1
1007,16,32,16,16,3
1008,64,32,16,16,1
1009,80,32,16,16,1
1010,96,32,16,16,1
1011,112,32,16,16,2
1012,0,48,16,32,1
1013,16,48,16,32,3
1014,64,48,16,32,1
1015,80,48,16,32,1
1016,96,48,16,32,1
1017,112,48,16,32,2
1018,0,80,16,16,1
1019,16,80,16,16,3
1020,64,80,16,16,1
1021,80,80,16,16,1
1022,96,80,16,16,1
1023,112,80,16,16,2
1024,0,96,16,32,1
1025,16,96,16,32,3
1026,64,96,16,32,1
1027,80,96,16,32,1
1028,96,96,16,32,1
1029,112,96,16,32,2
1030,0,128,16,16,1
1031,16,128,16,16,3
1032,64,128,16,16,1
1033,80,128,16,16,1
1034,96,128,16,16,1
1035,112,128,16,16,2
1036,0,144,16,32,1
1037,16,144,16,32,3
1038,64,144,16,32,1
1039,80,144,16,32,1
1040,96,144,16,32,1
1041,112,144,16,32,2
1042,0,176,16,16,1
1043,16,176,16,16,3
1044,64,176,16,16,1
1045,80,176,16,16,1
1046,96,176,16,16,1
1047,112,176,16,16,2
1048,0,192,16,32,1
1049,16,192,16,32,3
1050,64,192,16,32,1
1051,80,192,16,32,1
1052,96,192,16,32,1
1053,112,192,16,32,2
1054,0,224,16,16,1
1055,16,224,16,16,3
1056,64,224,16,16,1
1057,80,224,16,16,1
1058,96,224,16,16,1
1059,112,224,16,16,2
1060,0,240,16,32,1
1061,16,240,16,32,3
1062,64,240,16,32,1
1063,80,240,16,32,1
1064,96,240,16,32,1
1065,112,240,16,32,2
1066,0,272,16,16,1
1067,16,272,16,16,3
1068,64,272,16,16,1
1069,80,272,16,16,1
1070,96,272,16,16,1
1071,112,272,16,16,2
1072,0,16,16,16,2
1073,32,16,16,16,1
1074,96,8,16,24,4
1075,160,16,16,16,1
1076,176,16,16,16,1
1077,192,8,16,24,2
1078,656,0,32,32,4
1079,784,0,24,8,1
1080,384,0,16,16,1
1081,48,0,16,16,1
1083,32,0,16,16,1
1084,0,128,32,16,1
1085,0,144,32,16,1
1086,32,128,38,32,1
1089,70,128,10,32,1
1090,384,16,16,16,1
1091,16,32,16,16,1
1093,0,0,16,16,1
1094,128,128,16,16,1
1095,160,128,16,16,1
1096,128,144,16,16,1
1097,160,144,16,16,1
1098,144,142,16,10,1
1099,184,144,32,16,1
1100,0,16,16,16,1
1101,176,0,16,16,1
1102,192,0,48,16,1
1103,192,16,16,16,1
1104,208,16,16,16,1
1105,136,264,8,8,1
1106,262,144,2,16,1
1107,0,32,16,16,1
1108,0,48,16,16,1
1109,80,16,16,16,1
1110,80,128,48,16,1
1111,16,64,16,16,1
1112,432,16,16,16,1
1113,0,0,16,16,1
1114,0,32,16,16,1
1115,0,112,16,16,4
1116,128,32,16,16,1
1117,64,0,16,16,1
1118,64,0,8,8,1
1119,72,0,8,8,1
1120,64,8,8,8,1
1121,72,8,8,8,1
1122,16,0,16,16,1
1123,96,144,8,8,1
1124,104,144,8,8,1
1125,96,152,8,8,1
1126,104,152,8,8,1
1127,112,172,16,16,1
1128,64,128,16,8,1
1129,0,224,16,32,1


